@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.43953, 0.43416, 0.14173, 0.47747, 0.44794, 0.44723, 0.07382, 0.0793, 0
0.42587, 0.42878, 0.13875, 0.47618, 0.44529, 0.45262, 0.23586, 0.13625, 1
0.50118, 0.48227, 0.13606, 0.46514, 0.5121, 0.50859, 0.19855, 0.13333, 0
0.43787, 0.41658, 0.13647, 0.47838, 0.44558, 0.43833, 0.18885, 0.14004, 1
0.45523, 0.44842, 0.13611, 0.47679, 0.46006, 0.44535, 0.03498, 0.03644, 0
0.44548, 0.43643, 0.13304, 0.48005, 0.44972, 0.43433, 0.03211, 0.06065, 0
0.44283, 0.43788, 0.14548, 0.4808, 0.44928, 0.4471, 0.04768, 0.11659, 0
0.44436, 0.43974, 0.16314, 0.47845, 0.45436, 0.45362, 0.08503, 0.10055, 0
0.44767, 0.44139, 0.16914, 0.47248, 0.46098, 0.46329, 0.09523, 0.06518, 0
0.45442, 0.44471, 0.18481, 0.47103, 0.46864, 0.46883, 0.06634, 0.03986, 1
0.46226, 0.44761, 0.19743, 0.47065, 0.4731, 0.46696, 0.03642, 0.07854, 1
0.4547, 0.44015, 0.21153, 0.47481, 0.46162, 0.45024, 0.06429, 0.04641, 1
0.43602, 0.42857, 0.22329, 0.48748, 0.43756, 0.42567, 0.07088, 0.05995, 0
0.433, 0.43456, 0.23275, 0.48363, 0.44094, 0.43895, 0.12859, 0.20458, 1
0.46141, 0.45404, 0.22794, 0.47266, 0.47035, 0.47097, 0.09565, 0.21131, 0
0.46703, 0.46304, 0.25435, 0.46995, 0.49011, 0.49603, 0.23549, 0.15928, 0
0.45805, 0.44077, 0.2703, 0.47183, 0.47988, 0.47926, 0.03139, 0.03695, 0
0.4558, 0.44223, 0.28549, 0.47275, 0.475, 0.46968, 0.0266, 0.02142, 1
0.45979, 0.44556, 0.28667, 0.4732, 0.47413, 0.45769, 0.02851, 0.04623, 0
0.44995, 0.43785, 0.28707, 0.47609, 0.46098, 0.4467, 0.03216, 0.05388, 0
0.44535, 0.43806, 0.28474, 0.48137, 0.4559, 0.44494, 0.03015, 0.06007, 1
0.42686, 0.4054, 0.28752, 0.48604, 0.40906, 0.38442, 0.40053, 0.39549, 0
0.424, 0.43167, 0.28175, 0.48516, 0.4108, 0.39398, 0.04904, 0.02542, 1
0.44669, 0.44739, 0.27007, 0.48204, 0.43814, 0.43255, 0.05404, 0.04592, 0
0.44502, 0.43891, 0.26571, 0.48104, 0.44113, 0.45312, 0.01635, 0.05189, 1
0.45881, 0.44843, 0.26873, 0.47882, 0.45538, 0.4599, 0.04569, 0.01447, 0
0.46517, 0.45214, 0.2963, 0.47788, 0.45938, 0.45149, 0.10578, 0.0477, 0
0.43396, 0.4257, 0.31784, 0.48819, 0.43061, 0.42434, 0.09187, 0.1435, 0
0.44278, 0.4416, 0.33868, 0.48305, 0.44404, 0.44273, 0.07254, 0.11956, 0
0.44942, 0.44304, 0.35953, 0.47815, 0.45408, 0.45525, 0.05431, 0.08972, 0
0.44829, 0.44015, 0.36059, 0.47498, 0.45584, 0.46014, 0.04694, 0.06836, 0
0.40736, 0.41387, 0.34429, 0.47755, 0.43076, 0.44296, 0.31277, 0.4032, 1
0.47859, 0.47364, 0.32641, 0.46912, 0.50468, 0.51265, 0.2895, 0.38007, 1
0.46574, 0.44202, 0.32106, 0.47148, 0.48741, 0.48805, 0.035, 0.04231, 1
0.45708, 0.44056, 0.31663, 0.47356, 0.47352, 0.46347, 0.03662, 0.0384, 1
0.45563, 0.44243, 0.31324, 0.47523, 0.46685, 0.44469, 0.04213, 0.02768, 0
0.43448, 0.42914, 0.31629, 0.47883, 0.44729, 0.43538, 0.07579, 0.04272, 0
0.45614, 0.45013, 0.31849, 0.47304, 0.46862, 0.46159, 0.08635, 0.04696, 1
0.46027, 0.44576, 0.31623, 0.47145, 0.469, 0.46196, 0.04418, 0.05686, 0
0.43678, 0.42913, 0.32441, 0.48032, 0.44719, 0.4428, 0.06307, 0.05241, 1
0.4589, 0.45118, 0.33134, 0.4705, 0.46813, 0.45982, 0.06379, 0.04635, 0
