@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real[-0.01,1.01]
@attribute SMA_3 real[-0.01,1.01]
@attribute ADXR real[-0.01,1.01]
@attribute Bollinger_Norm real[-0.01,1.01]
@attribute EMA_5 real[-0.01,1.01]
@attribute SMA_5 real[-0.01,1.01]
@attribute std_close3 real[-0.01,1.01]
@attribute std_open3 real[-0.01,1.01]
@attribute trend{0,1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.46747, 0.46225, 0.37123, 0.4687, 0.48186, 0.47982, 0.16562, 0.17987, 0
0.71379, 0.70043, 0.35993, 0.40221, 0.72834, 0.71286, 0.04083, 0.02738, 1
0.44025, 0.43061, 0.21735, 0.48606, 0.43853, 0.42231, 0.10201, 0.1608, 1
0.45233, 0.44118, 0.32839, 0.4794, 0.45575, 0.44857, 0.03532, 0.03319, 1
0.43665, 0.42307, 0.30737, 0.48311, 0.43717, 0.42198, 0.14294, 0.24272, 1
0.44965, 0.44098, 0.3014, 0.48204, 0.45125, 0.4491, 0.00531, 0.02397, 1
0.10091, 0.09845, 0.26862, 0.5325, 0.11081, 0.11576, 0.07733, 0.02181, 0
0.45726, 0.445, 0.27375, 0.47467, 0.46594, 0.45409, 0.03685, 0.03043, 0
0.8029, 0.78889, 0.35315, 0.30272, 0.81314, 0.80179, 0.05379, 0.07494, 0
0.41179, 0.38111, 0.40046, 0.48435, 0.407, 0.40266, 0.4516, 0.43257, 0
0.43176, 0.43182, 0.27182, 0.47816, 0.44469, 0.43763, 0.1315, 0.15829, 0
0.43, 0.43557, 0.14722, 0.48242, 0.43387, 0.43334, 0.1366, 0.17498, 0
0.45227, 0.43952, 0.10547, 0.47583, 0.45821, 0.44784, 0.04599, 0.1709, 0
0.45591, 0.44518, 0.19603, 0.47311, 0.46541, 0.45623, 0.01999, 0.03139, 0
0.45756, 0.44308, 0.335, 0.47257, 0.4682, 0.45715, 0.03477, 0.06318, 0
0.45699, 0.45155, 0.32273, 0.47842, 0.45921, 0.45434, 0.06024, 0.09634, 0
0.4463, 0.4395, 0.25929, 0.48462, 0.44803, 0.44437, 0.01075, 0.04705, 0
0.43977, 0.43254, 0.24328, 0.47837, 0.44943, 0.44768, 0.05815, 0.01557, 0
0.45782, 0.45109, 0.18843, 0.47555, 0.46204, 0.45905, 0.06047, 0.04513, 1
0.45823, 0.44666, 0.20107, 0.47896, 0.45823, 0.44832, 0.06223, 0.04208, 0
0.442, 0.43319, 0.20482, 0.4864, 0.44265, 0.43583, 0.05221, 0.08061, 0
0.45295, 0.44519, 0.19625, 0.47652, 0.45788, 0.45585, 0.03562, 0.05668, 1
0.45059, 0.44308, 0.19196, 0.47244, 0.45836, 0.45432, 0.04153, 0.02921, 0
0.45538, 0.44492, 0.36063, 0.47331, 0.4559, 0.45313, 0.02752, 0.03455, 1
0.45374, 0.44409, 0.48846, 0.47739, 0.45725, 0.45539, 0.014, 0.0405, 0
0.46409, 0.45094, 0.5071, 0.46898, 0.46943, 0.46143, 0.05951, 0.03889, 0
0.4539, 0.44491, 0.47727, 0.47911, 0.4572, 0.45174, 0.01833, 0.02461, 1
0.4602, 0.44762, 0.36886, 0.4686, 0.46901, 0.46421, 0.03151, 0.07468, 1
0.45431, 0.44056, 0.34519, 0.475, 0.46018, 0.45288, 0.05387, 0.06815, 1
0.44974, 0.44429, 0.14696, 0.48232, 0.44928, 0.44509, 0.01731, 0.06584, 0
0.44983, 0.44242, 0.18664, 0.48298, 0.44499, 0.43861, 0.03841, 0.05335, 1
0.46049, 0.44796, 0.45327, 0.46933, 0.4666, 0.45832, 0.04327, 0.0313, 0
0.44566, 0.43483, 0.47938, 0.48121, 0.45101, 0.44318, 0.04419, 0.05421, 0
0.4508, 0.44288, 0.43026, 0.48208, 0.45294, 0.44832, 0.00816, 0.01926, 1
0.44713, 0.44478, 0.40762, 0.4772, 0.45532, 0.45216, 0.10573, 0.06947, 1
0.44652, 0.43885, 0.24157, 0.47523, 0.45607, 0.45037, 0.03548, 0.02444, 0
0.44086, 0.43401, 0.27538, 0.48555, 0.435, 0.42352, 0.07229, 0.16855, 1
0.45359, 0.44413, 0.37966, 0.47863, 0.45424, 0.45432, 0.01773, 0.00595, 1
0.44477, 0.4334, 0.4567, 0.48561, 0.44083, 0.43189, 0.10042, 0.09846, 0
0.44892, 0.43971, 0.54082, 0.47942, 0.45392, 0.44731, 0.00885, 0.01955, 1
0.45574, 0.44097, 0.61995, 0.47314, 0.46615, 0.45969, 0.03701, 0.0576, 0
0.45627, 0.44519, 0.58312, 0.4698, 0.46436, 0.45829, 0.02005, 0.02554, 0
0.45115, 0.44139, 0.44183, 0.47241, 0.45743, 0.45369, 0.00538, 0.02167, 1
0.45359, 0.44708, 0.41755, 0.48054, 0.45598, 0.44896, 0.03175, 0.02723, 0
0.45318, 0.44392, 0.36749, 0.47208, 0.46021, 0.45752, 0.02644, 0.06117, 0
0.45397, 0.4435, 0.32986, 0.47151, 0.46029, 0.45432, 0.01237, 0.00674, 0
0.42119, 0.42268, 0.35356, 0.48133, 0.43386, 0.43688, 0.17859, 0.19968, 1
0.50301, 0.48499, 0.3513, 0.46534, 0.50588, 0.49866, 0.21864, 0.23289, 0
0.47127, 0.4512, 0.26938, 0.47182, 0.48107, 0.47287, 0.07923, 0.06751, 1
0.46051, 0.45055, 0.14712, 0.47461, 0.46226, 0.45591, 0.04908, 0.05959, 0
0.43339, 0.42684, 0.13617, 0.48826, 0.43903, 0.43663, 0.07282, 0.09691, 0
0.43981, 0.43307, 0.11793, 0.48766, 0.44297, 0.43549, 0.03949, 0.02779, 0
0.44518, 0.43848, 0.11808, 0.47483, 0.45613, 0.45794, 0.07259, 0.07982, 0
0.44207, 0.43538, 0.17603, 0.4801, 0.44047, 0.4383, 0.02822, 0.02989, 1
0.45377, 0.44429, 0.19793, 0.47706, 0.45623, 0.45401, 0.01589, 0.02211, 1
0.45008, 0.44077, 0.22389, 0.48272, 0.45237, 0.44697, 0.01744, 0.0289, 1
0.44265, 0.43146, 0.25919, 0.48616, 0.43926, 0.43006, 0.10294, 0.08879, 0
0.44229, 0.43292, 0.39369, 0.48808, 0.44442, 0.43696, 0.05278, 0.05776, 0
0.45607, 0.4445, 0.46079, 0.47815, 0.45978, 0.45137, 0.04138, 0.06134, 1
0.45074, 0.44367, 0.45415, 0.4804, 0.45484, 0.45011, 0.02401, 0.03119, 1
0.45409, 0.44658, 0.36293, 0.47203, 0.46194, 0.46104, 0.05814, 0.05379, 0
0.45879, 0.45063, 0.26015, 0.46902, 0.46915, 0.4669, 0.07646, 0.09528, 1
0.42648, 0.42611, 0.22301, 0.48512, 0.43504, 0.43577, 0.12776, 0.06406, 0
0.4572, 0.44392, 0.26321, 0.47163, 0.47139, 0.4705, 0.0234, 0.10823, 1
0.52224, 0.48576, 0.2681, 0.47279, 0.51221, 0.48362, 0.43322, 0.44369, 0
0.35945, 0.3588, 0.27252, 0.48989, 0.36114, 0.34773, 0.40121, 0.44016, 1
0.42553, 0.40259, 0.25421, 0.4843, 0.4134, 0.40169, 0.34273, 0.4532, 1
0.4326, 0.43306, 0.24727, 0.48204, 0.42847, 0.43572, 0.07248, 0.05124, 1
0.44967, 0.44098, 0.23244, 0.48017, 0.45027, 0.44405, 0.01571, 0.03111, 1
0.44496, 0.43243, 0.16113, 0.47895, 0.44962, 0.4352, 0.08449, 0.07267, 0
0.44996, 0.44243, 0.15157, 0.4811, 0.45461, 0.4472, 0.01207, 0.03206, 0
0.45422, 0.44327, 0.13869, 0.4708, 0.46464, 0.46289, 0.02643, 0.06924, 1
0.36792, 0.38054, 0.14583, 0.48236, 0.3928, 0.4006, 0.42005, 0.35149, 1
0.49209, 0.49542, 0.16121, 0.46856, 0.52044, 0.52744, 0.44667, 0.40438, 1
0.45452, 0.44118, 0.23064, 0.47266, 0.47435, 0.46581, 0.01761, 0.04543, 1
0.44783, 0.4355, 0.35141, 0.48209, 0.45232, 0.44552, 0.05482, 0.04711, 1
0.44922, 0.44517, 0.31175, 0.48315, 0.44616, 0.43764, 0.01933, 0.02522, 0
0.46346, 0.45665, 0.10586, 0.47712, 0.46449, 0.45884, 0.0763, 0.10805, 0
0.4564, 0.44482, 0.16336, 0.47092, 0.47545, 0.4738, 0.06491, 0.14234, 1
0.4678, 0.46015, 0.14865, 0.47298, 0.48262, 0.50021, 0.17994, 0.25593, 1
0.46202, 0.4431, 0.14905, 0.47166, 0.47535, 0.47942, 0.02166, 0.04381, 0
0.46016, 0.44925, 0.18236, 0.48223, 0.45164, 0.43878, 0.11673, 0.10649, 0
0.45301, 0.44118, 0.20567, 0.47265, 0.45986, 0.45924, 0.0071, 0.0726, 1
0.4445, 0.43313, 0.22227, 0.48266, 0.44567, 0.43482, 0.07773, 0.04956, 1
0.42604, 0.41921, 0.25942, 0.47593, 0.45055, 0.43847, 0.15447, 0.12232, 0
0.45651, 0.44268, 0.29374, 0.47269, 0.47597, 0.46841, 0.01766, 0.05188, 1
0.46297, 0.4474, 0.30936, 0.47277, 0.47582, 0.45855, 0.05689, 0.01991, 1
0.44727, 0.43926, 0.3553, 0.48389, 0.44931, 0.44208, 0.02173, 0.05388, 1
0.44024, 0.43585, 0.34659, 0.48387, 0.44535, 0.44493, 0.06102, 0.02276, 0
0.46048, 0.44868, 0.29936, 0.46616, 0.46628, 0.4601, 0.03958, 0.03771, 0
0.63182, 0.61918, 0.23387, 0.35517, 0.63773, 0.62864, 0.00546, 0.01975, 1
0.45637, 0.4486, 0.26505, 0.4694, 0.46571, 0.46488, 0.0716, 0.0113, 1
0.45498, 0.44224, 0.27707, 0.47114, 0.46341, 0.46128, 0.01023, 0.01957, 0
0.46318, 0.44394, 0.20995, 0.47511, 0.46601, 0.45512, 0.11939, 0.1145, 0
0.44485, 0.4361, 0.15196, 0.48422, 0.44983, 0.44267, 0.02551, 0.00814, 1
0.43997, 0.43231, 0.16665, 0.48414, 0.44449, 0.44319, 0.04511, 0.043, 1
0.45853, 0.44479, 0.16524, 0.47141, 0.46823, 0.46283, 0.02612, 0.03284, 0
0.46622, 0.45665, 0.16313, 0.47709, 0.46692, 0.45794, 0.07711, 0.1044, 1
0.45595, 0.4454, 0.20273, 0.48027, 0.45481, 0.44768, 0.04696, 0.13832, 0
0.45333, 0.44942, 0.20104, 0.47145, 0.46522, 0.46944, 0.13489, 0.07055, 1
0.45953, 0.44478, 0.17249, 0.47176, 0.46846, 0.46369, 0.03778, 0.05164, 0
0.44301, 0.43781, 0.13764, 0.48435, 0.44664, 0.44077, 0.03259, 0.076, 0
0.43076, 0.42325, 0.15224, 0.48449, 0.43783, 0.434, 0.08742, 0.10252, 1
0.4628, 0.44851, 0.46047, 0.47336, 0.46698, 0.4569, 0.07073, 0.11168, 1
0.45226, 0.43839, 0.46379, 0.48147, 0.45262, 0.44084, 0.09988, 0.05003, 0
