@relation /home/othavioaset_perfeito_keel
@attribute EMA_3 real [-0.01, 1.01]
@attribute SMA_3 real [-0.01, 1.01]
@attribute ADXR real [-0.01, 1.01]
@attribute Bollinger_Norm real [-0.01, 1.01]
@attribute EMA_5 real [-0.01, 1.01]
@attribute SMA_5 real [-0.01, 1.01]
@attribute std_close3 real [-0.01, 1.01]
@attribute std_open3 real [-0.01, 1.01]
@attribute trend {0, 1}
@inputs EMA_3, SMA_3, ADXR, Bollinger_Norm, EMA_5, SMA_5, std_close3, std_open3
@outputs trend
@data
0.4442, 0.43613, 0.40824, 0.48363, 0.44837, 0.44501, 0.02538, 0.02722, 0
0.4467, 0.44118, 0.34769, 0.4839, 0.44607, 0.43853, 0.0, 0.04273, 0
0.44578, 0.43786, 0.34106, 0.48514, 0.44894, 0.44293, 0.0175, 0.03281, 1
0.44846, 0.46401, 0.15469, 0.48167, 0.44109, 0.42785, 0.21731, 0.23189, 1
0.44491, 0.44015, 0.27656, 0.48448, 0.44295, 0.43582, 0.00528, 0.08878, 1
0.44593, 0.43932, 0.30528, 0.48061, 0.44955, 0.44911, 0.03073, 0.01167, 0
0.45964, 0.44801, 0.38019, 0.47718, 0.46146, 0.45262, 0.05715, 0.01447, 0
0.46317, 0.44948, 0.41716, 0.47486, 0.46447, 0.45526, 0.08006, 0.06854, 0
0.18222, 0.17089, 0.43241, 0.56286, 0.17494, 0.16969, 0.16824, 0.15445, 1
0.43824, 0.43594, 0.24203, 0.47997, 0.44816, 0.44541, 0.0996, 0.04315, 1
0.45566, 0.44455, 0.24985, 0.47109, 0.47113, 0.47545, 0.07211, 0.11817, 1
0.45407, 0.44139, 0.24316, 0.47674, 0.45351, 0.45643, 0.04359, 0.02565, 1
0.44898, 0.44202, 0.21668, 0.48363, 0.4482, 0.44242, 0.01118, 0.05628, 0
0.44487, 0.43806, 0.21282, 0.48422, 0.4463, 0.44305, 0.01739, 0.04037, 1
0.44573, 0.43993, 0.15376, 0.48011, 0.45028, 0.43647, 0.01207, 0.05408, 0
0.46344, 0.44835, 0.24964, 0.47258, 0.47661, 0.45905, 0.05461, 0.0162, 1
0.44836, 0.43992, 0.3486, 0.47511, 0.45629, 0.4496, 0.01861, 0.03141, 1
0.44823, 0.43845, 0.33722, 0.47965, 0.45475, 0.44883, 0.01421, 0.0214, 1
0.4523, 0.44517, 0.26797, 0.47722, 0.45638, 0.45647, 0.04159, 0.04147, 1
0.54846, 0.50916, 0.16779, 0.47413, 0.52698, 0.4996, 0.55006, 0.97467, 0
0.4359, 0.43266, 0.14234, 0.47679, 0.45359, 0.44456, 0.1178, 0.03941, 0
0.42708, 0.43163, 0.15429, 0.47945, 0.43743, 0.46504, 0.23704, 0.34879, 1
0.44669, 0.43501, 0.14993, 0.47417, 0.46008, 0.45501, 0.03384, 0.0435, 1
0.4567, 0.44651, 0.15075, 0.47357, 0.4683, 0.45566, 0.0346, 0.02792, 1
0.45602, 0.44417, 0.15513, 0.4765, 0.46229, 0.45217, 0.03841, 0.05013, 1
0.46342, 0.44883, 0.2132, 0.47315, 0.46591, 0.45603, 0.07997, 0.09112, 0
0.51554, 0.50059, 0.22498, 0.46626, 0.53704, 0.54387, 0.31873, 0.30921, 0
0.45806, 0.44311, 0.27959, 0.47212, 0.48119, 0.47477, 0.0457, 0.05745, 0
0.45054, 0.44097, 0.33996, 0.48333, 0.4551, 0.43987, 0.04113, 0.07026, 1
0.45011, 0.44097, 0.34948, 0.48369, 0.45256, 0.44052, 0.03754, 0.04349, 1
0.44514, 0.4352, 0.33522, 0.47556, 0.45327, 0.45024, 0.02975, 0.03993, 1
0.44641, 0.43755, 0.31988, 0.47527, 0.45532, 0.45011, 0.02911, 0.03619, 1
0.44618, 0.43733, 0.28501, 0.48129, 0.45274, 0.4479, 0.01991, 0.05572, 0
0.44344, 0.44054, 0.27615, 0.4843, 0.44185, 0.43433, 0.01635, 0.01182, 0
0.45158, 0.44161, 0.20997, 0.47218, 0.46567, 0.46334, 0.05015, 0.07248, 1
0.45029, 0.44225, 0.20782, 0.4767, 0.45725, 0.45024, 0.02034, 0.04546, 1
0.46371, 0.44945, 0.25925, 0.47189, 0.46802, 0.45846, 0.0708, 0.10191, 1
0.45312, 0.44521, 0.25412, 0.4777, 0.45747, 0.4564, 0.0301, 0.02746, 1
0.45157, 0.44161, 0.13599, 0.47975, 0.4562, 0.45075, 0.01081, 0.02389, 1
0.46281, 0.45072, 0.16343, 0.47302, 0.46784, 0.45589, 0.05919, 0.05094, 1
0.44038, 0.42853, 0.18143, 0.48615, 0.43917, 0.43541, 0.09872, 0.06637, 1
0.44996, 0.44287, 0.2178, 0.48161, 0.45088, 0.44666, 0.00887, 0.09067, 0
0.43128, 0.42681, 0.15988, 0.47738, 0.44432, 0.44908, 0.12371, 0.08919, 1
0.43937, 0.43063, 0.11226, 0.48368, 0.44165, 0.44141, 0.05201, 0.0671, 0
0.45187, 0.44456, 0.13418, 0.47667, 0.45661, 0.45228, 0.03261, 0.01576, 0
0.42971, 0.42613, 0.47116, 0.48385, 0.43837, 0.4385, 0.10479, 0.08106, 1
0.43708, 0.42547, 0.4622, 0.47976, 0.44519, 0.4428, 0.07753, 0.01606, 1
0.43842, 0.43279, 0.46437, 0.48751, 0.44015, 0.43081, 0.04084, 0.03086, 1
0.4542, 0.44613, 0.35946, 0.47962, 0.45657, 0.44541, 0.02553, 0.02866, 0
0.44805, 0.43925, 0.23261, 0.4798, 0.45297, 0.44632, 0.00952, 0.00827, 1
0.44648, 0.44161, 0.11494, 0.47303, 0.45802, 0.45859, 0.09719, 0.0525, 0
0.45242, 0.44569, 0.13654, 0.4807, 0.45273, 0.44699, 0.02182, 0.15497, 1
0.44761, 0.43475, 0.11968, 0.48261, 0.44827, 0.44269, 0.08148, 0.06752, 0
0.36774, 0.36739, 0.38789, 0.49051, 0.371, 0.36118, 0.35672, 0.36855, 1
0.45624, 0.44709, 0.31209, 0.47659, 0.45655, 0.45662, 0.0287, 0.03311, 0
0.44883, 0.43841, 0.53007, 0.48083, 0.4551, 0.4439, 0.03314, 0.02408, 0
0.44732, 0.43926, 0.4625, 0.48186, 0.45292, 0.44688, 0.01286, 0.05122, 0
0.45376, 0.44524, 0.206, 0.47357, 0.45981, 0.45257, 0.02153, 0.02089, 1
0.45731, 0.44375, 0.15085, 0.47311, 0.46133, 0.45568, 0.05151, 0.03417, 0
0.45924, 0.44823, 0.17221, 0.47618, 0.46146, 0.45218, 0.05063, 0.11064, 0
0.44936, 0.43924, 0.31088, 0.47907, 0.45441, 0.45011, 0.0188, 0.02201, 0
0.4412, 0.4362, 0.32825, 0.48179, 0.44834, 0.44276, 0.05445, 0.03353, 0
0.45672, 0.44748, 0.34042, 0.47022, 0.4687, 0.46904, 0.06711, 0.1102, 0
0.45392, 0.44568, 0.36102, 0.47788, 0.44995, 0.45128, 0.02179, 0.0309, 0
0.44325, 0.4354, 0.3626, 0.48137, 0.44333, 0.44816, 0.0293, 0.01046, 1
0.45083, 0.44248, 0.36882, 0.47299, 0.46458, 0.45767, 0.05075, 0.09754, 0
0.44876, 0.43622, 0.44457, 0.4738, 0.46165, 0.45455, 0.02454, 0.06572, 0
0.46023, 0.44852, 0.46873, 0.47085, 0.47005, 0.45979, 0.0356, 0.03844, 1
0.45263, 0.43946, 0.47605, 0.47682, 0.45936, 0.44998, 0.05116, 0.04524, 0
0.45788, 0.44769, 0.56578, 0.47782, 0.46198, 0.45471, 0.03627, 0.03181, 1
0.44811, 0.43728, 0.56194, 0.48429, 0.45124, 0.44485, 0.04409, 0.03861, 0
0.42425, 0.41691, 0.28125, 0.48649, 0.43171, 0.42685, 0.11721, 0.11674, 1
0.44737, 0.44097, 0.21439, 0.47463, 0.45842, 0.45524, 0.07446, 0.06486, 1
0.46623, 0.45249, 0.2003, 0.46963, 0.47395, 0.47014, 0.05751, 0.05312, 0
0.4463, 0.43988, 0.17638, 0.47742, 0.45337, 0.44537, 0.02972, 0.03611, 1
0.45728, 0.4477, 0.14366, 0.46903, 0.4646, 0.46183, 0.03827, 0.06222, 1
0.45781, 0.44379, 0.14774, 0.47348, 0.46224, 0.4559, 0.05591, 0.0482, 0
0.43788, 0.42968, 0.30332, 0.48066, 0.43928, 0.41998, 0.09284, 0.03472, 1
